,Date,Open,High,Low,Close,Adj Close,Volume
5247,2018-03-22,1565.469971,1573.849976,1542.400024,1544.920044,1544.920044,6320600
5248,2018-03-23,1539.01001,1549.02002,1495.359985,1495.560059,1495.560059,8006000
5249,2018-03-26,1530.0,1556.98999,1499.25,1555.859985,1555.859985,5624700
5250,2018-03-27,1572.400024,1575.969971,1482.319946,1497.050049,1497.050049,6999600
5251,2018-03-28,1447.0,1455.900024,1386.170044,1431.420044,1431.420044,13705300
5252,2018-03-29,1406.0,1455.469971,1365.199951,1447.339966,1447.339966,12581100
5253,2018-04-02,1417.619995,1421.359985,1355.0,1371.98999,1371.98999,10463600
5254,2018-04-03,1391.380005,1414.0,1355.329956,1392.050049,1392.050049,10231200
5255,2018-04-04,1358.23999,1415.390015,1352.880005,1410.569946,1410.569946,6982300
5256,2018-04-05,1441.98999,1459.560059,1427.069946,1451.75,1451.75,6413500
5257,2018-04-06,1429.969971,1452.5,1400.26001,1405.22998,1405.22998,5882300
5258,2018-04-09,1425.030029,1438.47998,1402.569946,1406.079956,1406.079956,4208200
5259,2018-04-10,1431.98999,1438.380005,1415.699951,1436.219971,1436.219971,4254100
5260,2018-04-11,1439.439941,1448.780029,1424.890015,1427.050049,1427.050049,3582500
5261,2018-04-12,1439.5,1452.119995,1435.060059,1448.5,1448.5,3135000
5262,2018-04-13,1449.140015,1459.780029,1424.52002,1430.790039,1430.790039,3685300
5263,2018-04-16,1445.0,1447.0,1427.47998,1441.5,1441.5,2808600
5264,2018-04-17,1462.300049,1507.189941,1457.02002,1503.829956,1503.829956,5114400
5265,2018-04-18,1514.650024,1533.800049,1504.109985,1527.839966,1527.839966,5227500
5266,2018-04-19,1543.219971,1568.52002,1539.060059,1556.910034,1556.910034,6523700
5267,2018-04-20,1561.199951,1561.199951,1516.089966,1527.48999,1527.48999,5541600
5268,2018-04-23,1546.689941,1548.0,1503.410034,1517.859985,1517.859985,4465400
5269,2018-04-24,1535.800049,1539.5,1448.449951,1460.089966,1460.089966,7494700
5270,2018-04-25,1458.0,1469.98999,1415.02002,1460.170044,1460.170044,6587300
5271,2018-04-26,1485.01001,1529.420044,1478.5,1517.959961,1517.959961,8801100
5272,2018-04-27,1634.01001,1638.099976,1567.390015,1572.619995,1572.619995,13053200
5273,2018-04-30,1582.5,1596.0,1560.939941,1566.130005,1566.130005,5464100
5274,2018-05-01,1563.219971,1585.0,1552.180054,1582.26001,1582.26001,4572100
5275,2018-05-02,1580.97998,1588.5,1566.359985,1569.680054,1569.680054,4360300
5276,2018-05-03,1560.01001,1574.800049,1546.02002,1572.079956,1572.079956,4251900
5277,2018-05-04,1562.449951,1584.900024,1562.189941,1580.949951,1580.949951,3443600
5278,2018-05-07,1589.339966,1606.949951,1587.829956,1600.140015,1600.140015,3801900
5279,2018-05-08,1595.0,1596.880005,1582.51001,1592.390015,1592.390015,3067900
5280,2018-05-09,1600.0,1608.0,1592.0,1608.0,1608.0,3637300
5281,2018-05-10,1608.47998,1615.599976,1603.439941,1609.079956,1609.079956,2817500
5282,2018-05-11,1610.98999,1611.099976,1597.890015,1602.910034,1602.910034,2263900
